DESCRI;DESC_PLA;DATA;BASE
BOBINA GALVALUME  0,40 X 1200 AZM 150;CSP Mercadoria Revenda;04/12/2023 09:13;B
SERVIÇOS PRESTADOS FABRICAR PUNÇÃO DE CORTE E DOBRA ESPECIAL CONFORME DESENHO;DO Manutenção de Máquinas e Equipamentos;24/01/2024 10:01;B
PONTE ROLANTE 15 TON;AP Maquinas e Equipamentos;05/02/2024 13:37;B
CH FF 1,20 X 1200 X 3000;CSP Mercadoria Revenda;05/02/2024 15:34;B
CH FF 0,90 X 1200 X 3000;CSP Mercadoria Revenda;06/02/2024 16:15;B
CH FF 0,90 X 1200 X 2500;CSP Mercadoria Revenda;06/02/2024 16:15;B
CH FF 0,90 X 1200 X 2000;CSP Mercadoria Revenda;06/02/2024 16:15;B
CH FF 0,90 X 1200 X 6000;CSP Mercadoria Revenda;06/02/2024 16:15;B
CH FF 1,50 X 1200 X 2500;CSP Mercadoria Revenda;06/02/2024 10:01;B
TB RT FF 40X30X1,20X6000;CSP Mercadoria Revenda;06/02/2024 10:06;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/02/2024 10:06;B
TB RT FF 50X20X1,20X6000;CSP Mercadoria Revenda;06/02/2024 10:17;B
TB QD FF 40X40X1,20X6000;CSP Mercadoria Revenda;06/02/2024 10:24;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/02/2024 10:24;B
TB QD FQ 60X60X2,00X6000;CSP Mercadoria Revenda;06/02/2024 10:30;B
TB RT FF 40X20X0,90X6000;CSP Mercadoria Revenda;06/02/2024 10:30;B
PERFIL U 75X40X2,00X6000;CSP Mercadoria Revenda;06/02/2024 10:36;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/02/2024 10:36;B
TB ZN 30X30X0,95X6000;CSP Mercadoria Revenda;06/02/2024 10:47;B
TB ZN 50X20X1,55X6000;CSP Mercadoria Revenda;11/03/2024 13:34;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/02/2024 10:47;B
TB ZN 30X30X0,80X6000;CSP Mercadoria Revenda;06/02/2024 10:49;B
TB QD FF 80X80X1,50X6000;CSP Mercadoria Revenda;06/02/2024 10:56;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/02/2024 10:55;B
BOBINA GALVALUME 0,38 X 1200 AZM 150;CSP Mercadoria Revenda;06/02/2024 13:26;B
PERFIL U 50X25X2,25X6000;CSP Mercadoria Revenda;06/02/2024 13:46;B
TB RT FF 30X20X1,20X6000;CSP Mercadoria Revenda;06/02/2024 13:58;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/02/2024 13:58;B
TB ZN 40X40X0,95X6000;CSP Mercadoria Revenda;06/02/2024 14:01;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/02/2024 14:01;B
TB ZN 60X60X1,55X6000;CSP Mercadoria Revenda;08/04/2024 14:45;B
TB ZN 40X20X1,55X6000;CSP Mercadoria Revenda;11/03/2024 14:31;B
TB RT FF 40X30X1,50X6000;CSP Mercadoria Revenda;06/02/2024 14:08;B
TB QD FF 60X60X1,50X6000;CSP Mercadoria Revenda;08/04/2024 14:07;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;08/04/2024 14:46;B
CH FF 1,20 X 1200 X 2000;CSP Mercadoria Revenda;06/02/2024 14:28;B
CH FF 1,20 X 1200 X 2500;CSP Mercadoria Revenda;06/02/2024 14:31;B
CH FF 1,50 X 1200 X 2000;CSP Mercadoria Revenda;06/02/2024 14:31;B
CH FF 0,90 X 1200 X 3000;CSP Mercadoria Revenda;06/02/2024 14:33;B
CH FQ 3,00 X 1200 X 3000;CSP Mercadoria Revenda;06/02/2024 14:42;B
CH GR 4,75 X 1200 X 3000;CSP Mercadoria Revenda;06/02/2024 14:42;B
CH FQ 3,00 X 1200 X 3000;CSP Mercadoria Revenda;06/02/2024 14:44;B
CH FF 1,50 X 1200 X 3000;CSP Mercadoria Revenda;06/02/2024 14:48;B
CH XDZ 2,65 X 1200 X 3000;CSP Mercadoria Revenda;06/02/2024 14:50;B
TB ZN 50X20X0,95X6000;CSP Mercadoria Revenda;06/02/2024 14:57;B
PERFIL UE 75X40X15X2,25X6000;CSP Mercadoria Revenda;06/02/2024 15:00;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/02/2024 15:00;B
TB ZN 30X30X0,95X6000;CSP Mercadoria Revenda;06/02/2024 15:01;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/02/2024 15:02;B
TB QD FQ 100X100X1,50X6000;CSP Mercadoria Revenda;06/02/2024 15:11;B
CH FF 0,90 X 1200 X 3000;CSP Mercadoria Revenda;06/02/2024 15:23;B
CH FF 1,20 X 1200 X 3000;CSP Mercadoria Revenda;06/02/2024 15:23;B
CH FF 1,20 X 1200 X 2000;CSP Mercadoria Revenda;06/02/2024 15:23;B
CH FF 1,20 X 1200 X 2100;CSP Mercadoria Revenda;06/02/2024 15:23;B
CH FF 1,20 X 1200 X 2200;CSP Mercadoria Revenda;06/02/2024 15:23;B
CH FF 0,90 X 1200 X 2500;CSP Mercadoria Revenda;06/02/2024 15:57;B
CH FF 0,90 X 1200 X 2000;CSP Mercadoria Revenda;06/02/2024 16:02;B
TB QD FQ 100X100X1,50X6000;CSP Mercadoria Revenda;06/02/2024 16:12;B
TB QD FQ 100X100X2,00X6000;CSP Mercadoria Revenda;06/02/2024 16:12;B
