Conta Gerencial;Exemplo de Uso
AP Maquinas e Equipamentos;EVAP LG DUAL COMPACT AR CONDICIONADO SPLIT HI WALL LG DUAL INVERTER COMPACT 18.000 BTUS FRIO 220V Frio R-32
AP Maquinas e Equipamentos;COND LG DUAL COMPACT AR CONDICIONADO SPLIT HI WALL LG DUAL INVERTER COMPACT 18.000 BTUS FRIO 220V Frio R-32
AP Maquinas e Equipamentos;"ESMERILHADEIRA 5"" 1.700W GWS 17-125 S - 220V"
AP Maquinas e Equipamentos;PARAFUSADEIRA FURADEIRA IMP/PARAF 1/2 BAT
AP Maquinas e Equipamentos;PISTOLA MILENIUM HVLP 1.4MM S/RF ARPREX
AP Maquinas e Equipamentos;NOBREAK SMS 2200VA POWER
AP Maquinas e Equipamentos;PROCESSADOR INTEL CORE I5 4590 3.3GHZ 6MB
AP Maquinas e Equipamentos;COOLER PROCESSADOR INTEL 20281
AP Maquinas e Equipamentos;PLACA MOTHERBOARD H81 USB 3.0 GIGA TAICON  TA-PCB005
AP Maquinas e Equipamentos;SSD 480GB PRO SERIES S3+
AP Maquinas e Equipamentos;MEMORIA 8GB 1600MHZ VALUE TECH
AP Maquinas e Equipamentos;GABINETE MICRO-ATX MT-28BK C/FTE 200W C3TECH
AP Maquinas e Equipamentos;ESTABILIZADOR ES-300VA BM 115V BEM LIGADO CLK
AP Maquinas e Equipamentos;TECLADO USB KB101 LECOO
AP Maquinas e Equipamentos;MOUSE USB MS101 LECOO
AP Maquinas e Equipamentos;MONITOR LED 19 POL MR-19 C3TECH
AP Maquinas e Equipamentos;ECONOMIZADOR PARA MAQUINAS DE SOLDA MIG/TIG
AP Maquinas e Equipamentos;TOCHA 5 MTS COMPLETO 500A
AP Maquinas e Equipamentos;CELULAR SMARTPHONE GALAXY A54 5G 128GB PRETO
AP Maquinas e Equipamentos;CATRACAO N3195
AP Maquinas e Equipamentos;SELADOR MANUAL 25 MM N7480
AP Maquinas e Equipamentos;COFRE EM AÇO CINZA 80X37X33
AP Maquinas e Equipamentos;PONTE ROLANTE 10 TON/ VÃO 20 METROS 
